1000003	8900
1000004	20200
1000006	11600
1000015	13000
1000025	11100
1000027	10100
1000036	23200
1000038	9900
1000040	16200
1000053	12000
1000056	19800
1000060	9300
1000090	8400
1000094	10000
1000105	9300
1000111	10100
1000141	9800
1000142	9800
1000148	9500
1000239	10400
1000318	9800
1000344	8800
1000350	10600
1000353	8700
1000376	9800
1000391	9300
1000415	9800
1000431	9500
1000439	9800
1000480	9500
1000486	9300
1000487	9000
1000523	9300
1000559	8800
1000714	9800
1000753	9800
1000865	13300
1001111	9600
1001277	9800
1001466	9300
1001550	9800
1001719	9800
1001899	9800
1002170	9800
1002198	8400
1002250	9800
1002373	9800
1002490	19300
1002699	9800
1002704	8800
1002794	9800
1002824	9500
1002842	9800
1002921	9300
1003040	9800
1003105	13300
1003308	9300
1003338	9800
1003356	8900
1003357	8900
1003359	8900
1003360	9800
1003400	9800
1003468	9800
1003490	9800
1003516	9100
1003682	13000
1003683	9300
1003684	9300
1003685	9600
1003704	9500
1003741	19800
1003867	9300
1003880	9800
1003885	11300
1003993	9500
1004091	9800
1004327	9800
1004359	9900
1004465	8500
1004492	8600
1004495	9300
1004518	9800
1004632	9500
1004654	10600
1004671	9500
1004695	9800
1004897	9500
1004921	9300
1004954	9300
1006015	9500
1006024	13300
1006064	9500
1006088	15300
1006177	9300
1006206	9300
1006223	8800
1006268	9500
1006355	10600
1006371	9500
1006373	8800
1006402	8600
1006488	9300
1006550	9300
1006613	9300
1006644	9800
1006693	9300
1006717	9800
1006814	9300
1006839	10000
1006848	10600
1006871	9300
1006891	8600
1006893	8600
1006973	12300
1006978	9300
1007013	8300
1007027	9300
1007049	8900
1007107	9300
1007130	8800
1007209	11600
1007211	25100
1007237	10000
1007238	9500
1007245	9800
1007249	9700
1007252	10400
1007256	9300
1007258	10000
1007266	9800
1007267	8800
1007305	10400
1007320	8800
1007322	9300
1007326	9500
1007376	9800
1007383	15900
1007387	8900
1007398	9300
1007400	9800
1007401	9300
1007403	9300
1007404	8900
1007424	9300
1007444	11000
1007445	11800
1007472	9300
1007507	8600
1007522	9300
1007549	9800
1007553	10400
1007606	9800
1007607	9400
1007623	10000
1007647	9800
1007652	9300
1007657	15000
1007664	9500
1007670	9300
1007676	9300
1007690	8600
1007710	9500
1007776	8600
1007855	9800
1007914	9500
1007920	9800
1007940	8800
1007943	9800
1007971	8400
1007999	10000
1008014	10000
1008078	8600
1008093	9800
1008127	8600
1008134	10400
1008181	9800
1008182	9800
1008187	10000
1008273	9500
1008280	8800
1008295	8800
1008301	9800
1008312	8600
1008318	8600
1008319	9300
1008324	9800
1008326	10000
1008345	8600
1008349	10000
1008355	9800
1008359	8600
1008409	9800
1008411	9800
1008424	9300
1008438	9800
1008439	10000
1008460	10000
1008472	8900
1008483	8600
1008487	14200
1008490	10600
1008508	12700
1008511	8800
1008528	11300
1008537	9800
1008548	9300
1008561	8800
1008602	9300
1008613	26100
1008631	9800
1008634	9800
