SL,ID,Department,Section,Line,Designation
1,1000001,Production,Production (Staff),Sewing Staff,A P M
2,1000002,Production,Production (Worker),Finishing,Jr.Packer
3,1000003,Production,Production (Staff),Cutting Staff,Marker Man
4,1000004,Production,Production (Staff),Cutting Staff,"Asst.Manager, Cutting"
5,1000005,Production,Production (Staff),Finishing  Staff,Fin. Supervisor
6,1000006,Production,Production (Staff),Cutting Staff,"Asst. Incharge, Cutting"
7,1000007,Production,Production (Staff),Cutting Staff,Sr.Cut. Supervisor
8,1000008,Production,Production (Worker),Line-B,Sr.Sw.Mc.Operator
9,1000009,Production,Production (Worker),Line-B,Jr.Sw.Mc.Operator
10,1000010,Production,Production (Worker),Line-B,Jr.Sw.Mc.Operator
11,1000011,Human Resource,Human Resource,General,Care taker (Child Care)
12,1000012,Production,Production (Worker),Line-C,Jr.Sw.Mc.Operator
13,1000013,Production,Production (Staff),Sewing Staff,Production Manager
14,1000014,Production,Production (Staff),Finishing  Staff,Fin. Supervisor
15,1000015,Production,Production (Staff),Store Staff,Sr.Executive (Store)
16,1000016,Production,Production (Worker),Line-E,Jr.Sw.Mc.Operator
17,1000017,Production,Production (Worker),Line-B,Sr.Sw.Mc.Operator
18,1000018,Production,Production (Staff),Store Staff,Store Executive
19,1000019,Production,Production (Staff),Sewing Staff,A P M
20,1000020,Production,Production (Worker),Line-B,Sr.Sw.Mc.Operator
21,1000021,Production,Production (Staff),Quality  Staff,A.Q.C
22,1000022,Production,Production (Worker),Finishing,Hang-tag Man
23,1000023,Production,Production (Worker),Finishing,Finishing Quality Ins.
24,1000024,Production,Production (Staff),Quality  Staff,A.Q.C
25,1000025,Human Resource,Human Resource,Admin,Medical Assistant
26,1000026,Human Resource,Human Resource,Admin,Manager (Maintenance)
27,1000027,Production,Production (Staff),Cutting Staff,Marker Man
28,1000028,Production,Production (Staff),Sewing Staff,Production Executive
29,1000029,Production,Production (Staff),Finishing  Staff,Finishing In-charge
30,1000030,Production,Production (Staff),Mechanic Staff,Maint. Assistant Incharge
31,1000031,Production,Production (Staff),Mechanic Staff,Maint. Assistant
32,1000032,Production,Production (Worker),Line-D,Sr.Operator
33,1000033,Production,Production (Worker),Line-D,Sewing Mc.Operator
34,1000034,Human Resource,Human Resource,General,Checker
35,1000035,Production,Production (Staff),Sewing Staff,Line Chief - F
36,1000036,Human Resource,Human Resource,Admin,"Manager (HR, Admin & Compliance)"
37,1000037,Production,Production (Staff),Store Staff,Store Assistant
38,1000038,Production,Production (Staff),Cutting Staff,Cutter Man
39,1000039,Production,Production (Staff),Cutting Staff,Cutter Man
40,1000040,Production,Production (Staff),Electrical Staff,In-Charge(Electrical)
41,1000041,Production,Production (Staff),Quality  Staff,A.Q.C
42,1000042,Production,Production (Worker),Line-A,Sewing Mc.Operator
43,1000043,Production,Production (Worker),Line-A,Sewing Mc.Operator
44,1000044,Production,Production (Worker),Line-C,Jr.Sw.Mc.Operator
45,1000045,Production,Production (Worker),Line-F,Sewing Mc.Operator
46,1000046,Production,Production (Staff),Sewing Staff,Line Chief - F
47,1000047,Production,Production (Worker),Line-F,Jr.Sw.Mc.Operator
48,1000048,Production,Production (Worker),Line-F,Sewing Mc.Operator
49,1000049,Production,Production (Worker),Line-D,Sewing Mc.Operator
50,1000050,Human Resource,Human Resource,General,Checker
51,1000051,Human Resource,Human Resource,General,Needle Supplier
52,1000052,Production,Production (Worker),Line-F,Jr.Sw.Mc.Operator
53,1000053,Production,Production (Staff),Sewing Staff,"Supervisor, Line-C"
54,1000054,Production,Production (Worker),Finishing,Finishing Quality Ins.
55,1000055,Production,Production (Worker),Line-D,Jr.Sw.Mc.Operator
56,1000056,Production,Production (Staff),Mechanic Staff,Incharge(Mechanic)
57,1000057,Production,Production (Staff),Finishing  Staff,Fin. Supervisor
58,1000058,Production,Production (Worker),Line-B,Jr.Sw.Mc.Operator
59,1000059,Production,Production (Worker),Line-B,Jr.Sw.Mc.Operator
60,1000060,Production,Production (Worker),Cutting,Jr.Inputman
61,1000061,Production,Production (Staff),Finishing  Staff,Fin. Supervisor
62,1000062,Production,Production (Worker),Finishing,Button Marker
63,1000063,Production,Production (Worker),Line-E,Jr.Sw.Mc.Operator
64,1000064,Production,Production (Staff),Quality  Staff,A.Q.C
65,1000065,Production,Production (Worker),Line-D,Sewing Mc.Operator
66,1000066,Production,Production (Staff),Finishing  Staff,Fin. Supervisor
67,1000067,Production,Production (Worker),Line-F,Sewing Mc.Operator
68,1000068,Production,Production (Worker),Line-F,Sewing Mc.Operator
69,1000069,Production,Production (Worker),Line-F,Sr.Sw.Mc.Operator
70,1000070,Production,Production (Staff),Quality  Staff,A.Q.C
71,1000071,Production,Production (Worker),Line-A,Sewing Mc.Operator
72,1000072,Production,Production (Worker),Finishing,Jr.Finishing Operator
73,1000073,Production,Production (Worker),Finishing,Finishing Quality Ins.
74,1000074,Production,Production (Worker),Line-B,Sewing Mc.Operator
75,1000075,Production,Production (Worker),Line-D,Operator
76,1000076,Production,Production (Staff),Quality  Staff,A.Q.C
77,1000077,Production,Production (Worker),Quality,Quality Inspector
78,1000078,Production,Production (Worker),Line-E,Operator
79,1000079,Production,Production (Staff),Finishing  Staff,Supervisor(Finishing)
80,1000080,Production,Production (Worker),Line-E,Sewing Mc.Operator
81,1000081,Production,Production (Worker),Line-A,Sewing Mc.Operator
82,1000082,Production,Production (Worker),Finishing,Finishing Quality Ins.
83,1000083,Production,Production (Staff),Sewing Staff,Line Chief - F
84,1000084,Production,Production (Staff),Finishing  Staff,Fin. Supervisor
85,1000085,Production,Production (Staff),Cutting Staff,Cutter Man
86,1000086,Production,Production (Staff),Store Staff,Store Assistant
87,1000087,Production,Production (Worker),Finishing,Finishing Quality Ins.
88,1000088,Production,Production (Staff),Finishing  Staff,Supervisor(Finishing)
89,1000089,Production,Production (Staff),Sewing Staff,Line Chief - C
90,1000090,Production,Production (Staff),Cutting Staff,Jr.ERP Officer
91,1000091,Production,Production (Worker),Line-E,Jr.Sw.Mc.Operator
92,1000092,Production,Production (Staff),Sewing Staff,Line Chief - E
93,1000093,Production,Production (Worker),Line-E,Sewing Mc.Operator
94,1000094,Production,Production (Worker),Line-A,Operator
95,1000095,Production,Production (Staff),Sewing Staff,Supervisor - E
96,1000096,Production,Production (Staff),Quality  Staff,A.Q.C
97,1000097,Production,Production (Worker),Finishing,Finishing Folder
98,1000098,Production,Production (Worker),Finishing,Finishing Quality Ins.
99,1000099,Production,Production (Staff),Cutting Staff,Cut. Supervisor
100,1000100,Production,Production (Worker),Line-C,Jr.Sw.Mc.Operator
101,1000101,Production,Production (Worker),Finishing,Finishing Operator
102,1000102,Production,Production (Worker),Finishing,Finishing Quality Ins.
103,1000103,Production,Production (Worker),Line-A,Jr.Sw.Mc.Operator
104,1000104,Production,Production (Worker),Line-A,Sewing Mc.Operator
105,1000105,Production,Production (Worker),Line-C,Jr.Operator
106,1000106,Production,Production (Worker),Line-D,Sewing Mc.Operator
107,1000107,Production,Production (Worker),Line-F,Jr.Sw.Mc.Operator
108,1000108,Human Resource,Human Resource,General,Labour
109,1000109,Production,Production (Worker),Line-B,G.Sw.Mc.Operator
110,1000110,Production,Production (Worker),Line-E,Sewing Mc.Operator
111,1000111,Production,Production (Staff),Cutting Staff,Marker Man
112,1000112,Production,Production (Worker),Line-E,Sewing Mc.Operator
113,1000113,Production,Production (Worker),Line-F,Sewing Mc.Operator
114,1000114,Production,Production (Worker),Line-F,Sewing Mc.Operator
115,1000115,Production,Production (Worker),Line-F,Jr.Sw.Mc.Operator
116,1000116,Production,Production (Worker),Finishing,Finishing Operator
117,1000117,Human Resource,Human Resource,General,Peon
118,1000118,Production,Production (Worker),Line-C,Sewing Mc.Operator
119,1000119,Production,Production (Worker),Line-C,Jr.Sw.Mc.Operator
120,1000120,Production,Production (Worker),Line-C,G.Sw.Mc.Operator
121,1000121,Production,Production (Worker),Finishing,Finishing Quality Ins.
122,1000122,Production,Production (Staff),Sewing Staff,Line Chief - B
123,1000123,Production,Production (Worker),Finishing,Loop Cutter
124,1000124,Production,Production (Worker),Line-F,Sewing Mc.Operator
125,1000125,Production,Production (Staff),Finishing  Staff,Fin. Supervisor
126,1000126,Production,Production (Worker),Line-B,G.Sw.Mc.Operator
127,1000127,Human Resource,Human Resource,General,Cleaner
128,1000128,Production,Production (Worker),Cutting,Asst.Numbering Man
129,1000129,Production,Production (Worker),Line-C,Sewing Mc.Operator
130,1000130,Production,Production (Worker),Finishing,Fini.Eyelet Mc.Operator
131,1000131,Production,Production (Worker),Quality,Quality Inspector
132,1000132,Production,Production (Worker),Line-F,Sewing Mc.Operator
133,1000133,Human Resource,Human Resource,General,Cleaner
134,1000134,Production,Production (Worker),Quality,Quality Inspector
135,1000135,Production,Production (Worker),Line-D,G.Sw.Mc.Operator
136,1000136,Production,Production (Staff),Quality  Staff,A.Q.C
137,1000137,Production,Production (Worker),Line-C,G.Sw.Mc.Operator
138,1000138,Human Resource,Human Resource,Admin,"Asst.Manager, Admin & Finance"
139,1000139,Production,Production (Worker),Finishing,Jr.Packer
140,1000140,Production,Production (Worker),Line-E,Jr.Sw.Mc.Operator
141,1000141,Production,Production (Worker),Finishing,Quality Inspector
142,1000142,Production,Production (Worker),Finishing,Poly Man
143,1000143,Production,Production (Staff),Sewing Staff,Line Chief - E
144,1000144,Production,Production (Worker),Finishing,Jr.Finishing Operator
145,1000145,Production,Production (Staff),Sewing Staff,Supervisor - D
146,1000146,Production,Production (Worker),Finishing,Finishing Quality Ins.
147,1000147,Production,Production (Staff),Finishing  Staff,Fin. Supervisor
148,1000148,Production,Production (Worker),Finishing,Jr.Iron Man
149,1000149,Production,Production (Worker),Line-D,Sewing Mc.Operator
150,1000150,Production,Production (Worker),Line-E,Jr.Sw.Mc.Operator
151,1000151,Production,Production (Worker),Line-A,G.Sw.Mc.Operator
152,1000152,Production,Production (Worker),Line-C,Jr.Sw.Mc.Operator
153,1000153,Production,Production (Worker),Line-E,Jr.Sw.Mc.Operator
154,1000154,Production,Production (Worker),Finishing,Operator
155,1000155,Production,Production (Worker),Finishing,Gr.Finishing Operator
156,1000156,Production,Production (Worker),Finishing,Finishing Quality Ins.
157,1000157,Production,Production (Staff),Sewing Staff,Supervisor - B
158,1000158,Production,Production (Worker),Line-F,Jr.Sw.Mc.Operator
159,1000159,Production,Production (Worker),Line-E,Sr.Sw.Mc.Operator
160,1000160,Production,Production (Staff),Quality  Staff,A.Q.C
161,1000161,Production,Production (Staff),Mechanic Staff,Maint. Assistant
162,1000162,Production,Production (Worker),Line-E,G.Sw.Mc.Operator
163,1000163,Production,Production (Worker),Line-D,Sewing Mc.Operator
164,1000164,Production,Production (Worker),Finishing,Finishing Quality Ins.
165,1000165,Production,Production (Worker),Quality,Quality Inspector
166,1000166,Production,Production (Worker),Quality,Quality Inspector
167,1000167,Production,Production (Worker),Line-A,Sewing Mc.Operator
168,1000168,Production,Production (Worker),Line-C,Jr.Sw.Mc.Operator
169,1000169,Production,Production (Worker),Finishing,Jr.Fini. Iron Man
170,1000170,Production,Production (Worker),Finishing,Jr.Fini. Iron Man
171,1000171,Production,Production (Worker),Line-E,Sewing Mc.Operator
172,1000172,Production,Production (Worker),Line-A,G.Sw.Mc.Operator
173,1000173,Production,Production (Worker),Finishing,Finishing Operator
174,1000174,Production,Production (Worker),Finishing,Jr.Finishing Operator
175,1000175,Production,Production (Worker),Line-F,Sewing Mc.Operator
176,1000176,Production,Production (Worker),Finishing,Jr.Finishing Operator
177,1000177,Production,Production (Worker),Line-D,Jr.Sw.Mc.Operator
178,1000178,Production,Production (Worker),Line-E,Sr.Sw.Mc.Operator
179,1000179,Production,Production (Worker),Line-F,Jr.Sw.Mc.Operator
180,1000180,Production,Production (Worker),Line-B,Sewing Mc.Operator
181,1000181,Production,Production (Worker),Line-D,Sewing Mc.Operator
182,1000182,Production,Production (Worker),Line-F,G.Sw.Mc.Operator
183,1000183,Production,Production (Worker),Finishing,Jr.Finishing Operator
184,1000184,Production,Production (Worker),Line-E,G.Sw.Mc.Operator
185,1000185,Production,Production (Worker),Finishing,Finishing Operator
186,1000186,Production,Production (Worker),Line-D,Sewing Mc.Operator
187,1000187,Production,Production (Staff),Cutting Staff,Cutter Man
188,1000188,Production,Production (Worker),Finishing,Finishing Quality Ins.
189,1000189,Production,Production (Worker),Cutting,Cutting Assistant
190,1000190,Production,Production (Worker),Line-E,G.Sw.Mc.Operator
191,1000191,Production,Production (Worker),Line-F,Sewing Mc.Operator
192,1000192,Production,Production (Worker),Finishing,Finishing Quality Ins.
193,1000193,Production,Production (Worker),Line-D,G.Sw.Mc.Operator
194,1000194,Production,Production (Worker),Line-F,Jr.Sw.Mc.Operator
195,1000195,Production,Production (Worker),Line-C,G.Sw.Mc.Operator
196,1000196,Production,Production (Staff),Finishing  Staff,Fini. Sup (Wash)
197,1000197,Production,Production (Worker),Finishing,Jr.Fini. Iron Man
198,1000198,Production,Production (Worker),Line-A,Sr.Sw.Mc.Operator
199,1000199,Production,Production (Worker),Line-A,Sr.Sw.Mc.Operator
200,1000200,Production,Production (Worker),Line-B,Sewing Mc.Operator
201,1000201,Production,Production (Worker),Finishing,Finishing Quality Ins.
202,1000202,Production,Production (Worker),Line-A,Jr.Sw.Mc.Operator
203,1000203,Production,Production (Worker),Line-B,Sewing Mc.Operator
204,1000204,Production,Production (Worker),Line-B,Sewing Mc.Operator
205,1000205,Production,Production (Worker),Line-A,Sewing Mc.Operator
206,1000206,Production,Production (Worker),Line-C,Sewing Mc.Operator
207,1000207,Production,Production (Staff),Sewing Staff,Supervisor-A
208,1000208,Production,Production (Worker),Finishing,Gr.Finishing Operator
209,1000209,Production,Production (Worker),Line-D,Sewing Mc.Operator
210,1000210,Production,Production (Worker),Line-A,Jr.Sw.Mc.Operator
211,1000211,Production,Production (Worker),Line-D,Jr.Sw.Mc.Operator
212,1000212,Production,Production (Worker),Line-B,Jr.Sw.Mc.Operator
213,1000213,Production,Production (Worker),Line-C,G.Sw.Mc.Operator
214,1000214,Production,Production (Worker),Line-D,G.Sw.Mc.Operator
215,1000215,Production,Production (Worker),Line-D,Jr.Sw.Mc.Operator
216,1000216,Production,Production (Worker),Line-E,Sewing Mc.Operator
217,1000217,Production,Production (Worker),Finishing,Jr.Operator
218,1000218,Production,Production (Worker),Quality,Quality Inspector
219,1000219,Production,Production (Worker),Quality,Quality Inspector
220,1000220,Production,Production (Worker),Line-B,G.Sw.Mc.Operator
221,1000221,Production,Production (Worker),Line-C,G.Sw.Mc.Operator
222,1000222,Production,Production (Worker),Line-F,G.Sw.Mc.Operator
223,1000223,Human Resource,Human Resource,General,Cleaner
224,1000224,Production,Production (Staff),Sewing Staff,Supervisor - F
225,1000225,Production,Production (Worker),Line-A,Jr.Sw.Mc.Operator
226,1000226,Production,Production (Worker),Line-A,Jr.Sw.Mc.Operator
227,1000227,Production,Production (Worker),Line-B,Jr.Sw.Mc.Operator
228,1000228,Production,Production (Worker),Line-B,Sewing Mc.Operator
229,1000229,Production,Production (Staff),Sewing Staff,Supervisor - D
230,1000230,Production,Production (Worker),Line-B,Jr.Sw.Mc.Operator
231,1000231,Production,Production (Worker),Line-B,G.Sw.Mc.Operator
232,1000232,Production,Production (Worker),Line-A,Jr.Sw.Mc.Operator
233,1000233,Production,Production (Worker),Line-E,Sewing Mc.Operator
234,1000234,Production,Production (Worker),Finishing,Jr.Packer
235,1000235,Production,Production (Worker),Line-C,Sewing Mc.Operator
236,1000236,Production,Production (Worker),Line-E,Jr.Sw.Mc.Operator
237,1000237,Production,Production (Worker),Line-A,Sewing Mc.Operator
238,1000238,Production,Production (Worker),Finishing,Jr.Finishing Operator
239,1000239,Production,Production (Staff),Cutting Staff,Supervisor(Cutting)
240,1000240,Human Resource,Human Resource,General,Cleaner
241,1000241,Production,Production (Worker),Line-C,Sewing Mc.Operator
242,1000242,Production,Production (Worker),Line-F,Sewing Mc.Operator
243,1000243,Production,Production (Worker),Line-F,Sewing Mc.Operator
244,1000244,Production,Production (Worker),Line-A,Sewing Mc.Operator
245,1000245,Production,Production (Worker),Line-B,Jr.Sw.Mc.Operator
246,1000246,Production,Production (Worker),Finishing,Finishing Quality Ins.
247,1000247,Production,Production (Worker),Finishing,Jr. Finishing Operator
248,1000248,Industrial Engineer,Industrial Engineer,Industrial Engineer,Asst.Manager I.E.
249,1000249,Production,Production (Staff),Cutting Staff,Cutter Man
250,1000250,Production,Production (Worker),Line-B,Sewing Mc.Operator
251,1000251,Production,Production (Worker),Line-C,Asst.Sw.Mc.Operator
252,1000252,Production,Production (Worker),Line-D,Sewing Mc.Operator
253,1000253,Production,Production (Worker),Finishing,Jr.Packer
254,1000254,Industrial Engineer,Industrial Engineer,Industrial Engineer,Sr.I.E.Executive
255,1000255,Production,Production (Worker),Quality,Quality Inspector
256,1000256,Production,Production (Worker),Line-C,Sewing Mc.Operator
257,1000257,Production,Production (Worker),Line-A,Jr.Sw.Mc.Operator
258,1000258,Production,Production (Worker),Line-B,Jr.Sw.Mc.Operator
259,1000259,Production,Production (Worker),Line-D,G.Sw.Mc.Operator
260,1000260,Production,Production (Worker),Line-E,Jr.Sw.Mc.Operator
261,1000261,Production,Production (Worker),Finishing,Finishing Quality Ins.
262,1000262,Production,Production (Worker),Finishing,Jr.Fini. Iron Man
263,1000263,Production,Production (Worker),Finishing,Jr.Finishing Operator
264,1000264,Production,Production (Worker),Finishing,Finishing Assistant
265,1000265,Production,Production (Worker),Finishing,Gr.Finishing Operator
266,1000266,Production,Production (Staff),Finishing  Staff,Finishing Manager
267,1000267,Production,Production (Worker),Line-A,Jr.Sw.Mc.Operator
268,1000268,Production,Production (Worker),Line-E,Jr.Sw.Mc.Operator
269,1000269,Production,Production (Worker),Line-E,G.Sw.Mc.Operator
270,1000270,Production,Production (Worker),Line-A,G.Sw.Mc.Operator
271,1000271,Production,Production (Worker),Line-E,Sewing Mc.Operator
272,1000272,Production,Production (Worker),Line-A,G.Sw.Mc.Operator
273,1000273,Production,Production (Worker),Line-D,Jr.Sw.Mc.Operator
274,1000274,Production,Production (Worker),Line-D,Jr.Sw.Mc.Operator
275,1000275,Production,Production (Worker),Finishing,Spot Man
276,1000276,Production,Production (Worker),Line-B,Jr.Sw.Mc.Operator
277,1000277,Production,Production (Worker),Line-B,Asst.Sw.Mc.Operator
278,1000278,Production,Production (Worker),Line-C,Sewing Mc.Operator
279,1000279,Production,Production (Worker),Line-D,Sewing Mc.Operator
280,1000280,Production,Production (Worker),Line-D,Sewing Mc.Operator
281,1000281,Production,Production (Worker),Finishing,Finishing Folder
282,1000282,Production,Production (Worker),Finishing,Gr.Finishing Operator
283,1000283,Production,Production (Worker),Finishing,Finishing Folder
284,1000284,Production,Production (Worker),Line-F,Sewing Mc.Operator
285,1000285,Production,Production (Worker),Line-F,Jr.Sw.Mc.Operator
286,1000286,Production,Production (Worker),Finishing,Finishing Quality Ins.
287,1000287,Production,Production (Worker),Line-A,G.Sw.Mc.Operator
288,1000288,Production,Production (Worker),Line-C,Jr.Sw.Mc.Operator
289,1000289,Production,Production (Worker),Line-C,Jr.Sw.Mc.Operator
290,1000290,Production,Production (Worker),Cutting,Cutting Assistant
291,1000291,Production,Production (Worker),Line-D,Jr.Sw.Mc.Operator
292,1000292,Production,Production (Staff),Quality  Staff,A.Q.C
293,1000293,Production,Production (Staff),Mechanic Staff,Maint. Assistant
294,1000294,Production,Production (Worker),Line-A,Sewing Mc.Operator
295,1000295,Production,Production (Worker),Finishing,Finishing Folder
296,1000296,Production,Production (Worker),Finishing,Folder Man
297,1000297,Production,Production (Worker),Line-C,Sewing Mc.Operator
298,1000298,Production,Production (Worker),Quality,Quality Inspector
299,1000299,Production,Production (Worker),Cutting,Cutting Assistant
300,1000300,Production,Production (Worker),Line-E,Jr.Sw.Mc.Operator
301,1000301,Production,Production (Worker),Finishing,Finishing Quality Ins.
302,1000302,Human Resource,Human Resource,Admin,Admin. Executive
303,1000303,Production,Production (Worker),Line-B,G.Sw.Mc.Operator
304,1000304,Production,Production (Worker),Finishing,Finishing Folder
305,1000305,Production,Production (Worker),Finishing,Jr.Finishing Operator
306,1000306,Production,Production (Worker),Line-F,Sewing Mc.Operator
307,1000307,Production,Production (Worker),Finishing,Asst. Wash Co-Ordinator
308,1000308,Production,Production (Worker),Finishing,Finishing Quality Ins.
309,1000309,Production,Production (Worker),Line-D,Jr.Sw.Mc.Operator
310,1000310,Production,Production (Worker),Cutting,Cutting Assistant
311,1000311,Production,Production (Worker),Line-A,G.Sw.Mc.Operator
312,1000312,Production,Production (Worker),Line-A,G.Sw.Mc.Operator
313,1000313,Production,Production (Worker),Line-B,Asst.Sw.Mc.Operator
314,1000314,Production,Production (Worker),Line-B,Asst.Sw.Mc.Operator
315,1000315,Production,Production (Worker),Line-B,G.Sw.Mc.Operator
316,1000316,Production,Production (Worker),Line-E,G.Sw.Mc.Operator
317,1000317,Production,Production (Worker),Finishing,Jr.Packer
318,1000318,Production,Production (Worker),Finishing,Folding Man
319,1000319,Production,Production (Worker),Line-E,G.Sw.Mc.Operator
320,1000320,Production,Production (Worker),Line-F,Sewing Mc.Operator
321,1000321,Production,Production (Worker),Line-A,G.Sw.Mc.Operator
322,1000322,Production,Production (Worker),Line-D,G.Sw.Mc.Operator
323,1000323,Production,Production (Worker),Line-A,Jr.Sw.Mc.Operator
324,1000324,Production,Production (Worker),Finishing,Jr.Finishing Operator
325,1000325,Production,Production (Worker),Line-A,Jr.Sw.Mc.Operator
326,1000326,Production,Production (Worker),Line-D,G.Sw.Mc.Operator
327,1000327,Production,Production (Worker),Line-F,G.Sw.Mc.Operator
328,1000328,Production,Production (Worker),Line-E,Sewing Mc.Operator
329,1000329,Production,Production (Worker),Line-A,Jr.Sw.Mc.Operator
330,1000330,Production,Production (Worker),Line-C,Jr.Sw.Mc.Operator
331,1000331,Production,Production (Worker),Line-C,Jr.Sw.Mc.Operator
332,1000332,Production,Production (Worker),Line-D,Jr.Sw.Mc.Operator
333,1000333,Production,Production (Worker),Line-F,Jr.Sw.Mc.Operator
334,1000334,Production,Production (Worker),Line-F,Jr.Sw.Mc.Operator
335,1000335,Production,Production (Staff),Sewing Staff,Supervisor - D
336,1000336,Industrial Engineer,Industrial Engineer,Industrial Engineer,"In-Charge, I.E."
337,1000337,Production,Production (Worker),Line-A,G.Sw.Mc.Operator
338,1000338,Production,Production (Worker),Finishing,Finishing Quality Ins.
339,1000339,Production,Production (Worker),Line-E,Jr.Operator
340,1000340,Production,Production (Worker),Line-F,G.Sw.Mc.Operator
341,1000341,Production,Production (Worker),Finishing,Jr.Packer
342,1000342,Production,Production (Staff),Finishing  Staff,Fin. Supervisor
343,1000343,Production,Production (Worker),Finishing,Jr.Packer
344,1000344,Human Resource,Human Resource,General,Cleaner
345,1000345,Production,Production (Worker),Line-F,G.Sw.Mc.Operator
346,1000346,Production,Production (Worker),Line-C,G.Sw.Mc.Operator
347,1000347,Production,Production (Worker),Cutting,Cutting Assistant
348,1000348,Production,Production (Worker),Line-C,Jr.Sw.Mc.Operator
349,1000349,Production,Production (Worker),Finishing,Finishing Folder
350,1000350,Production,Production (Staff),Electrical Staff,Asst.Supervisor(Electrician)
351,1000351,Production,Production (Worker),Line-C,Jr.Sw.Mc.Operator
352,1000352,Production,Production (Worker),Finishing,Finishing Quality Ins.
353,1000353,Production,Production (Staff),Cutting Staff,Cutter Man
354,1000354,Production,Production (Worker),Line-C,Jr.Sw.Mc.Operator
355,1000355,Production,Production (Worker),Line-D,Sewing Mc.Operator
356,1000356,Production,Production (Worker),Line-B,Jr.Sw.Mc.Operator
357,1000357,Production,Production (Staff),Sewing Staff,Supervisor - F
358,1000358,Production,Production (Worker),Line-E,Jr.Sw.Mc.Operator
359,1000359,Production,Production (Worker),Line-F,Jr.Sw.Mc.Operator
360,1000360,Production,Production (Worker),Line-E,Jr.Sw.Mc.Operator
361,1000361,Production,Production (Worker),Line-E,G.Sw.Mc.Operator
362,1000362,Production,Production (Worker),Line-E,Sewing Mc.Operator
363,1000363,Production,Production (Worker),Line-C,Jr.Sw.Mc.Operator
364,1000364,Production,Production (Worker),Line-C,Jr.Sw.Mc.Operator
365,1000365,Production,Production (Worker),Line-D,Sewing Mc.Operator
366,1000366,Production,Production (Worker),Line-C,G.Sw.Mc.Operator
367,1000367,Production,Production (Worker),Line-F,Jr.Sw.Mc.Operator
368,1000368,Production,Production (Worker),Line-A,Jr.Sw.Mc.Operator
369,1000369,Production,Production (Worker),Line-E,Jr.Sw.Mc.Operator
370,1000370,Production,Production (Worker),Line-A,Jr.Sw.Mc.Operator
371,1000371,Production,Production (Staff),Quality  Staff,Quality In-Charge
372,1000372,Production,Production (Worker),Finishing,Finishing Operator
373,1000373,Production,Production (Worker),Line-C,Jr.Operator
374,1000374,Production,Production (Staff),Finishing  Staff,Production (Checker)
375,1000375,Production,Production (Worker),Line-B,Sewing Mc.Operator
376,1000376,Production,Production (Worker),Line-C,Operator
377,1000377,Production,Production (Worker),Finishing,Finishing Quality Ins.
378,1000378,Production,Production (Worker),Line-E,Jr.Sw.Mc.Operator
379,1000379,Production,Production (Worker),Finishing,Jr.Fini. Iron Man
380,1000380,Production,Production (Worker),Finishing,Jr. Finishing Operator
381,1000381,Production,Production (Worker),Finishing,Jr.Fini. Iron Man
382,1000382,Production,Production (Worker),Line-A,Jr.Sw.Mc.Operator
383,1000383,Production,Production (Worker),Cutting,Gr.Fusing Mc.Operator
384,1000384,Production,Production (Worker),Finishing,Jr.Packer
385,1000385,Production,Production (Worker),Finishing,Finishing Folder
386,1000386,Production,Production (Worker),Finishing,Folder Man
387,1000387,Production,Production (Staff),Store Staff,Store Executive
388,1000388,Production,Production (Staff),Sewing Staff,Line Chief - D
389,1000389,Production,Production (Worker),Line-B,Jr.Sw.Mc.Operator
390,1000390,Production,Production (Worker),Line-B,Jr.Sw.Mc.Operator
391,1000391,Production,Production (Worker),Cutting,Jr.Lay Man
392,1000392,Production,Production (Worker),Finishing,Jr.Fini. Iron Man
393,1000393,Production,Production (Worker),Line-F,G.Sw.Mc.Operator
394,1000394,Production,Production (Worker),Line-A,Sewing Mc.Operator
395,1000395,Production,Production (Worker),Line-C,Asst.Sw.Mc.Operator
396,1000396,Production,Production (Worker),Line-D,Jr.Sw.Mc.Operator
397,1000397,Production,Production (Worker),Line-D,Jr.Sw.Mc.Operator
398,1000398,Production,Production (Worker),Line-D,Jr.Sw.Mc.Operator
399,1000399,Production,Production (Worker),Line-A,Asst.Sw.Mc.Operator
400,1000400,Production,Production (Worker),Line-F,Jr.Sw.Mc.Operator
401,1000401,Production,Production (Worker),Line-C,Sewing Mc.Operator
402,1000402,Production,Production (Worker),Line-F,Jr.Sw.Mc.Operator
403,1000403,Production,Production (Worker),Line-A,Jr.Sw.Mc.Operator
404,1000404,Production,Production (Worker),Cutting,Cutting Assistant
405,1000405,Production,Production (Worker),Cutting,Cutting Assistant
406,1000406,Production,Production (Worker),Line-F,Jr.Sw.Mc.Operator
407,1000407,Production,Production (Worker),Line-F,Jr.Sw.Mc.Operator
408,1000408,Production,Production (Worker),Line-B,Sewing Mc.Operator
409,1000409,Production,Production (Worker),Line-C,Sewing Mc.Operator
410,1000410,Production,Production (Worker),Line-D,Jr.Sw.Mc.Operator
411,1000411,Production,Production (Worker),Line-F,Jr.Sw.Mc.Operator
412,1000412,Production,Production (Worker),Line-C,G.Sw.Mc.Operator
413,1000413,Production,Production (Worker),Finishing,Jr.Finishing Operator
414,1000414,Production,Production (Worker),Line-C,G.Sw.Mc.Operator
415,1000415,Production,Production (Worker),Finishing,Folding Man
416,1000416,Production,Production (Worker),Line-B,Asst.Sw.Mc.Operator
417,1000417,Production,Production (Worker),Line-E,Jr.Sw.Mc.Operator
