SL,ID,Department,Section,Line,Designation
1541,1001548,Production,Production (Worker),Line-D,Asst.Sw.Mc.Operator
1542,1001549,Production,Production (Worker),Line-F,Asst.Sw.Mc.Operator
1543,1001550,Production,Production (Worker),Line-F,Operator
1544,1001551,Production,Production (Worker),Line-F,Jr.Sw.Mc.Operator
1545,1001552,Production,Production (Worker),Finishing,Finishing Folder
1546,1001553,Production,Production (Worker),Line-F,Asst.Sw.Mc.Operator
1547,1001554,Production,Production (Worker),Line-F,Asst.Sw.Mc.Operator
1548,1001555,Production,Production (Worker),Finishing,Finishing Assistant
1549,1001556,Production,Production (Worker),Line-C,Sewing Mc.Operator
1550,1001557,Production,Production (Worker),Finishing,Finishing Assistant
1551,1001558,Production,Production (Staff),Sewing Staff,Floor Incharge
1552,1001559,Production,Production (Worker),Line-F,Sewing Mc.Operator
1553,1001560,Production,Production (Worker),Line-C,Jr.Sw.Mc.Operator
1554,1001561,Production,Production (Worker),Line-C,Jr.Sw.Mc.Operator
1555,1001562,Production,Production (Worker),Line-F,Asst.Sw.Mc.Operator
1556,1001563,Production,Production (Worker),Line-E,Jr.Sw.Mc.Operator
1557,1001564,Production,Production (Worker),Line-C,Asst.Sw.Mc.Operator
1558,1001565,Production,Production (Staff),Mechanic Staff,Maint. Assistant
1559,1001566,Production,Production (Staff),Sewing Staff,Supervisor - E
1560,1001567,Production,Production (Worker),Line-D,Asst.Sw.Mc.Operator
1561,1001568,Production,Production (Worker),Line-D,Sewing Mc.Operator
1562,1001569,Production,Production (Worker),Line-D,Asst.Sw.Mc.Operator
1563,1001570,Production,Production (Worker),Line-D,Sewing Mc.Operator
1564,1001571,Production,Production (Worker),Line-F,Asst.Sw.Mc.Operator
1565,1001572,Production,Production (Worker),Line-C,G.Sw.Mc.Operator
1566,1001573,Production,Production (Worker),Line-B,Jr.Sw.Mc.Operator
1567,1001574,Production,Production (Worker),Line-B,Asst.Sw.Mc.Operator
1568,1001575,Production,Production (Worker),Quality,Quality Inspector
1569,1001576,Production,Production (Worker),Line-B,Sewing Mc.Operator
1570,1001577,Production,Production (Worker),Line-C,Jr.Sw.Mc.Operator
1571,1001578,Production,Production (Worker),Line-C,Jr.Sw.Mc.Operator
1572,1001579,Production,Production (Worker),Line-C,Sewing Mc.Operator
1573,1001580,Production,Production (Worker),Line-D,Sewing Mc.Operator
1574,1001581,Production,Production (Worker),Line-F,Jr.Sw.Mc.Operator
1575,1001582,Production,Production (Worker),Quality,Quality Inspector
1576,1001583,Production,Production (Staff),Mechanic Staff,Maintenance Manager
1577,1001584,Production,Production (Worker),Finishing,Jr.Fini. Iron Man
1578,1001585,Production,Production (Worker),Finishing,Finishing Quality Ins.
1579,1001586,Production,Production (Worker),Finishing,Finishing Quality Ins.
1580,1001587,Production,Production (Worker),Finishing,Finishing Assistant
1581,1001589,Production,Production (Worker),Line-C,Jr.Sw.Mc.Operator
1582,1001591,Production,Production (Worker),Line-A,Jr.Sw.Mc.Operator
1583,1001593,Production,Production (Worker),Line-E,Jr.Sw.Mc.Operator
1584,1001594,Production,Production (Worker),Line-F,Asst.Sw.Mc.Operator
1585,1001595,Production,Production (Worker),Line-F,Asst.Sw.Mc.Operator
1586,1001596,Production,Production (Worker),Line-F,G.Sw.Mc.Operator
1587,1001597,Production,Production (Worker),Line-A,Asst.Sw.Mc.Operator
1588,1001598,Production,Production (Worker),Line-F,Asst.Sw.Mc.Operator
1589,1001599,Production,Production (Worker),Line-A,Sewing Mc.Operator
1590,1001600,Production,Production (Staff),Sewing Staff,Supervisor-A
1591,1001602,Production,Production (Worker),Line-A,Jr.Sw.Mc.Operator
1592,1001603,Production,Production (Worker),Line-B,Sewing Mc.Operator
1593,1001604,Production,Production (Worker),Finishing,Finishing Quality Ins.
1594,1001606,Production,Production (Worker),Line-C,Jr.Sw.Mc.Operator
1595,1001607,Production,Production (Worker),Quality,Quality Inspector
1596,1001608,Production,Production (Worker),Line-E,Jr.Sw.Mc.Operator
1597,1001609,Production,Production (Worker),Line-E,Sewing Mc.Operator
1598,1001610,Production,Production (Worker),Line-B,Jr.Sw.Mc.Operator
1599,1001611,Production,Production (Staff),Mechanic Staff,Maint.Incharge
1600,1001612,Production,Production (Worker),Line-A,Jr.Sw.Mc.Operator
1601,1001614,Production,Production (Worker),Line-A,Jr.Sw.Mc.Operator
1602,1001615,Production,Production (Worker),Line-B,Jr.Sw.Mc.Operator
1603,1001616,Production,Production (Worker),Line-B,Jr.Sw.Mc.Operator
1604,1001618,Production,Production (Worker),Line-F,G.Sw.Mc.Operator
1605,1001619,Production,Production (Worker),Line-D,Sr.Sw.Mc.Operator
1606,1001620,Production,Production (Worker),Line-C,Sr.Sw.Mc.Operator
1607,1001621,Production,Production (Worker),Line-C,Sewing Mc.Operator
1608,1001622,Production,Production (Worker),Finishing,Jr.Fini. Iron Man
1609,1001624,Production,Production (Worker),Line-E,Jr.Sw.Mc.Operator
1610,1001625,Human Resource,Human Resource,Admin,Medical Officer
1611,1001626,Production,Production (Staff),Mechanic Staff,Maint. Assistant
1612,1001627,Production,Production (Staff),Sewing Staff,Line Chief - B
1613,1001629,Production,Production (Worker),Cutting,Cutting Assistant
1614,1001632,Production,Production (Worker),Finishing,Jr.Fini. Iron Man
1615,1001634,Production,Production (Worker),Line-B,Jr.Sw.Mc.Operator
1616,1001635,Production,Production (Worker),Line-B,Asst.Sw.Mc.Operator
1617,1001636,Production,Production (Worker),Finishing,Finishing Folder
1618,1001637,Production,Production (Worker),Finishing,Folder Man
1619,1001638,Production,Production (Worker),Finishing,Finishing Quality Ins.
1620,1001639,Production,Production (Staff),Quality  Staff,A.Q.C
1621,1001640,Production,Production (Worker),Line-A,Sewing Mc.Operator
1622,1001641,Production,Production (Worker),Line-A,Jr.Sw.Mc.Operator
1623,1001642,Production,Production (Worker),Line-D,G.Sw.Mc.Operator
1624,1001643,Production,Production (Worker),Line-D,G.Sw.Mc.Operator
1625,1001644,Production,Production (Staff),Quality  Staff,A.Q.C
1626,1001645,Production,Production (Worker),Quality,Quality Inspector
1627,1001648,Production,Production (Worker),Finishing,Finishing Quality Ins.
1628,1001651,Production,Production (Worker),Line-E,Asst.Sw.Mc.Operator
1629,1001652,Production,Production (Worker),Line-F,Asst.Sw.Mc.Operator
1630,1001653,Production,Production (Worker),Line-E,Asst.Sw.Mc.Operator
1631,1001655,Production,Production (Worker),Line-C,Asst.Sw.Mc.Operator
1632,1001656,Production,Production (Worker),Line-C,Asst.Sw.Mc.Operator
1633,1001657,Production,Production (Worker),Line-C,Asst.Sw.Mc.Operator
1634,1001660,Production,Production (Worker),Line-B,Asst.Sw.Mc.Operator
1635,1001661,Production,Production (Worker),Line-D,Asst.Sw.Mc.Operator
1636,1001662,Production,Production (Worker),Finishing,Finishing Quality Ins.
1637,1001663,Production,Production (Worker),Line-F,Jr.Sw.Mc.Operator
1638,1001664,Production,Production (Worker),Line-A,G.Sw.Mc.Operator
1639,1001665,Production,Production (Worker),Line-C,Jr.Sw.Mc.Operator
1640,1001666,Production,Production (Worker),Finishing,Finishing Quality Ins.
1641,1001667,Production,Production (Worker),Line-C,Jr.Sw.Mc.Operator
1642,1001668,Production,Production (Worker),Line-F,Asst.Sw.Mc.Operator
1643,1001669,Production,Production (Worker),Quality,Quality Inspector
1644,1001671,Production,Production (Worker),Finishing,Finishing Assistant
1645,1001673,Production,Production (Worker),Line-B,Asst.Sw.Mc.Operator
1646,1001676,Production,Production (Worker),Line-A,Jr.Sw.Mc.Operator
1647,1001677,Production,Production (Worker),Line-B,Sewing Mc.Operator
1648,1001679,Production,Production (Worker),Line-E,Sr.Sw.Mc.Operator
1649,1001681,Production,Production (Worker),Line-A,Sewing Mc.Operator
1650,1001682,Production,Production (Worker),Line-A,Sewing Mc.Operator
1651,1001684,Production,Production (Worker),Line-F,G.Sw.Mc.Operator
1652,1001685,Production,Production (Worker),Line-D,Asst.Sw.Mc.Operator
1653,1001686,Production,Production (Worker),Quality,Quality Inspector
1654,1001687,Production,Production (Worker),Quality,Quality Inspector
1655,1001688,Production,Production (Worker),Finishing,Spot Man
1656,1001690,Production,Production (Worker),Finishing,Jr.Folder
1657,1001691,Production,Production (Worker),Line-F,Jr.Sw.Mc.Operator
1658,1001693,Production,Production (Worker),Line-F,Asst.Sw.Mc.Operator
1659,1001694,Human Resource,Human Resource,General,Labour
1660,1001695,Production,Production (Staff),Sewing Staff,Supervisor-A
1661,1001696,Production,Production (Worker),Line-B,Asst.Sw.Mc.Operator
1662,1001698,Production,Production (Worker),Line-E,Asst.Sw.Mc.Operator
1663,1001699,Production,Production (Worker),Line-E,Asst.Sw.Mc.Operator
1664,1001700,Production,Production (Worker),Finishing,Finishing Assistant
1665,1001701,Production,Production (Worker),Finishing,Jr.Fini. Iron Man
1666,1001703,Production,Production (Worker),Line-A,Jr.Sw.Mc.Operator
1667,1001705,Production,Production (Worker),Line-B,Jr.Sw.Mc.Operator
1668,1001708,Production,Production (Worker),Line-E,Jr.Sw.Mc.Operator
1669,1001712,Production,Production (Worker),Finishing,Jr.Fini. Iron Man
1670,1001713,Production,Production (Worker),Finishing,Finishing Assistant
1671,1001717,Production,Production (Worker),Line-A,G.Sw.Mc.Operator
1672,1001719,Production,Production (Worker),Line-F,Operator
1673,1001720,Production,Production (Worker),Line-F,Asst.Sw.Mc.Operator
1674,1001721,Production,Production (Worker),Line-B,G.Sw.Mc.Operator
1675,1001722,Human Resource,Human Resource,General,Labour
1676,1001723,Production,Production (Worker),Finishing,Jr. Finishing Operator
1677,1001724,Production,Production (Staff),Sewing Staff,Supervisor - B
1678,1001725,Production,Production (Worker),Line-D,Jr.Sw.Mc.Operator
