5000010	12	28	58
5000012	11	23	77
5000015	11	23	77
5000019	11	26	85
5000023	13	30	66
5000050	13	30	69
5000071	13	30	67
5000091	13	30	64
5000097	13	30	65
5000117	13	30	65
5000122	13	30	65
5000137	13	30	64
5000141	13	30	65
5000152	13	30	82
5000175	13	29	78
5000176	13	29	78
5000179	13	29	56
5000182	11	23	77
5000192	11	23	77
5000200	15	34	86
5000215	13	29	56
5000217	13	30	61
5000230	13	30	70
5000236	13	30	64
5000250	13	32	59
5000263	13	32	59
5000268	13	30	66
5000277	15	34	86
5000282	11	23	77
5000283	12	28	58
5000292	11	23	77
5000303	13	30	66
5000307	13	30	65
5000317	13	30	66
5000327	13	30	66
5000333	13	30	65
5000338	12	28	58
5000353	13	30	69
5000354	13	30	67
5000371	13	30	65
5000374	13	30	66
5000375	13	30	67
5000412	13	30	67
5000415	13	30	64
5000434	13	32	59
5000435	13	30	63
5000442	13	32	59
5000445	11	23	77
5000449	13	30	68
5000462	11	26	85
5000465	13	32	59
5000474	13	30	64
5000475	13	30	66
5000492	13	29	56
5000500	13	30	67
5000508	13	30	64
5000515	13	30	66
5000524	12	27	57
5000530	13	30	67
5000537	13	30	65
5000542	13	30	66
5000543	13	30	67
5000572	13	30	73
5000573	13	30	69
5000593	13	30	68
5000600	13	30	63
5000606	13	30	63
5000619	13	30	67
5000622	13	30	67
5000628	13	30	63
5000631	13	30	66
5000635	14	33	83
5000638	13	30	68
5000645	13	29	78
5000646	13	30	61
5000651	13	30	63
5000657	13	30	63
5000660	13	30	66
5000662	13	30	65
5000664	13	29	56
5000674	11	23	75
5000685	13	29	56
5000693	13	30	67
5000694	13	30	68
5000697	13	30	63
5000702	13	31	84
5000704	14	33	83
5000706	14	33	80
5000708	13	30	68
5000717	14	33	83
5000721	13	29	56
5000738	14	33	80
5000744	13	30	81
5000745	13	32	59
5000749	13	30	64
5000750	13	30	67
5000758	13	30	66
5000759	13	30	67
5000760	13	30	74
5000765	13	30	69
5000788	14	33	83
5000805	13	30	73
5000808	13	30	64
5000843	11	23	77
5000846	13	29	78
5000866	12	28	58
5000876	11	23	77
5000887	13	30	64
5000894	11	26	85
5000897	13	30	63
5000899	13	30	73
5000904	13	29	56
5000909	13	30	68
5000910	13	30	65
5000912	13	30	67
5000913	13	29	56
5000931	11	23	77
5000932	13	30	65
5000936	13	30	66
5000938	13	30	69
5000948	13	30	67
5000949	12	28	58
5000953	13	30	68
5000958	13	30	67
5000964	13	30	63
5000966	13	30	68
5000969	13	30	68
5000980	13	30	68
5000982	13	30	69
5000985	13	30	68
5000996	13	30	63
5000998	14	33	80
5001006	13	30	68
5001024	14	33	80
5001032	11	23	55
5001033	13	32	79
5001067	13	29	56
5001073	13	30	63
5001085	13	30	67
5001091	13	32	59
5001096	13	30	67
5001108	13	30	69
5001118	13	32	59
5001126	13	30	67
5001128	13	29	78
5001140	13	30	73
5001147	13	32	59
5001155	15	34	86
5001160	13	30	67
5001162	13	30	67
5001165	13	30	69
5001175	13	30	64
5001183	13	30	66
5001205	13	29	56
5001206	13	30	68
5001221	13	30	68
5001223	13	30	69
5001236	13	30	65
5001255	12	28	58
5001265	13	30	69
5001274	13	32	59
5001283	13	29	78
5001286	13	29	56
5001289	13	30	68
5001293	13	30	63
5001297	13	30	63
5001303	13	30	69
5001307	13	30	69
5001312	13	30	64
5001319	13	30	69
5001321	11	23	75
5001325	13	30	66
5001329	13	32	59
5001330	13	30	63
5001344	11	23	77
5001348	11	23	77
5001373	13	30	64
5001390	13	30	65
5001393	13	30	63
